Site-Specific Likelihood Analysis for Clade_3
==================================================

Supporting sites: 60200
Conflicting sites: 29500
Neutral sites: 100
Support ratio: 2.0407
Sum of supporting deltas: -8977.7192
Sum of conflicting deltas: 5590.4408
Weighted support ratio: 1.6059

Site	ML_Tree_lnL	Constrained_lnL	Delta_lnL	Supports_Branch
1	2.456639	2.485426	-0.028786	True
2	2.456639	2.485426	-0.028786	True
3	4.038201	4.080744	-0.042543	True
4	5.184463	5.064798	0.119665	False
5	2.773024	2.805156	-0.032132	True
6	2.773024	2.805156	-0.032132	True
7	10.230255	10.260951	-0.030696	True
8	5.548948	5.598822	-0.049874	True
9	5.816264	7.400914	-1.584650	True
10	15.007732	15.317701	-0.309969	True
11	4.038201	4.080744	-0.042543	True
12	4.038201	4.080744	-0.042543	True
13	12.533142	13.945276	-1.412133	True
14	4.038201	4.080744	-0.042543	True
15	2.562287	2.592217	-0.029929	True
16	4.949997	4.831535	0.118462	False
17	10.817112	10.834709	-0.017596	True
18	9.148024	9.073400	0.074624	False
19	17.140338	17.056313	0.084025	False
20	11.384533	11.411053	-0.026520	True
21	12.406813	12.290036	0.116777	False
22	12.991466	14.546800	-1.555334	True
23	2.562287	2.592217	-0.029929	True
24	2.773024	2.805156	-0.032132	True
25	19.127477	18.528224	0.599253	False
26	2.456639	2.485426	-0.028786	True
27	2.773024	2.805156	-0.032132	True
28	12.173363	12.207426	-0.034062	True
29	7.175682	7.189444	-0.013763	True
30	2.773024	2.805156	-0.032132	True
31	20.854400	20.675917	0.178483	False
32	4.038201	4.080744	-0.042543	True
33	2.562287	2.592217	-0.029929	True
34	12.352320	11.960174	0.392145	False
35	2.562287	2.592217	-0.029929	True
36	2.456639	2.485426	-0.028786	True
37	12.931144	14.304954	-1.373809	True
38	4.038201	4.080744	-0.042543	True
39	4.038201	4.080744	-0.042543	True
40	18.676324	19.164228	-0.487904	True
41	5.227394	5.165525	0.061869	False
42	2.773024	2.805156	-0.032132	True
43	13.815718	13.309414	0.506304	False
44	2.456639	2.485426	-0.028786	True
45	2.562287	2.592217	-0.029929	True
46	11.842750	11.485964	0.356785	False
47	2.773024	2.805156	-0.032132	True
48	2.562287	2.592217	-0.029929	True
49	17.766379	17.554358	0.212021	False
50	2.773024	2.805156	-0.032132	True
51	2.562287	2.592217	-0.029929	True
52	8.938492	8.862052	0.076441	False
53	12.331409	12.048420	0.282989	False
54	2.773024	2.805156	-0.032132	True
55	15.097913	15.073889	0.024024	False
56	14.873910	15.071204	-0.197294	True
57	5.627380	5.681516	-0.054136	True
58	12.955358	13.008320	-0.052962	True
59	2.773024	2.805156	-0.032132	True
60	2.773024	2.805156	-0.032132	True
61	5.184463	5.064798	0.119665	False
62	2.773024	2.805156	-0.032132	True
63	4.038201	4.080744	-0.042543	True
64	5.470928	5.298723	0.172206	False
65	9.493340	9.528546	-0.035206	True
66	2.773024	2.805156	-0.032132	True
67	13.755209	13.793154	-0.037944	True
68	4.038201	4.080744	-0.042543	True
69	2.562287	2.592217	-0.029929	True
70	8.134746	7.979729	0.155017	False
71	2.456639	2.485426	-0.028786	True
72	2.456639	2.485426	-0.028786	True
73	9.531633	9.434662	0.096971	False
74	5.192226	5.070207	0.122019	False
75	2.562287	2.592217	-0.029929	True
76	5.366015	5.196032	0.169982	False
77	2.456639	2.485426	-0.028786	True
78	2.456639	2.485426	-0.028786	True
79	9.124791	9.065741	0.059051	False
80	2.773024	2.805156	-0.032132	True
81	2.456639	2.485426	-0.028786	True
82	10.809229	10.868238	-0.059009	True
83	4.038201	4.080744	-0.042543	True
84	2.456639	2.485426	-0.028786	True
85	7.426005	7.453954	-0.027949	True
86	2.562287	2.592217	-0.029929	True
87	4.038201	4.080744	-0.042543	True
88	10.067287	10.132390	-0.065102	True
89	6.008117	5.889656	0.118462	False
90	6.369238	6.099922	0.269316	False
91	16.604815	16.832359	-0.227544	True
92	2.562287	2.592217	-0.029929	True
93	2.456639	2.485426	-0.028786	True
94	9.513830	9.340766	0.173064	False
95	2.456639	2.485426	-0.028786	True
96	8.197437	8.267796	-0.070359	True
97	9.991889	9.888648	0.103241	False
98	2.562287	2.592217	-0.029929	True
99	4.038201	4.080744	-0.042543	True
100	12.801009	12.459129	0.341880	False
101	2.456639	2.485426	-0.028786	True
102	9.755391	9.635664	0.119727	False
103	6.099905	5.844697	0.255208	False
104	2.456639	2.485426	-0.028786	True
105	2.773024	2.805156	-0.032132	True
106	2.456639	2.485426	-0.028786	True
107	10.780190	10.937636	-0.157446	True
108	7.612433	7.324854	0.287578	False
109	13.307653	13.281972	0.025681	False
110	5.227394	5.165525	0.061869	False
111	2.773024	2.805156	-0.032132	True
112	14.761000	14.707428	0.053572	False
113	8.955177	9.582887	-0.627711	True
114	2.562287	2.592217	-0.029929	True
115	13.764759	13.937349	-0.172590	True
116	2.562287	2.592217	-0.029929	True
117	8.150242	8.193759	-0.043516	True
118	10.831678	10.713332	0.118346	False
119	4.038201	4.080744	-0.042543	True
120	4.038201	4.080744	-0.042543	True
121	15.335119	15.094252	0.240868	False
122	5.274555	5.102350	0.172205	False
123	2.773024	2.805156	-0.032132	True
124	16.789879	16.474324	0.315555	False
125	2.562287	2.592217	-0.029929	True
126	2.456639	2.485426	-0.028786	True
127	2.456639	2.485426	-0.028786	True
128	6.578322	6.608831	-0.030509	True
129	5.646283	5.697619	-0.051336	True
130	16.574700	16.527205	0.047495	False
131	8.467609	8.297159	0.170450	False
132	2.773024	2.805156	-0.032132	True
133	5.366015	5.196032	0.169982	False
134	7.642776	7.344000	0.298776	False
135	2.773024	2.805156	-0.032132	True
136	9.337215	9.243264	0.093951	False
137	2.562287	2.592217	-0.029929	True
138	2.562287	2.592217	-0.029929	True
139	12.009764	12.524705	-0.514941	True
140	6.605230	6.634306	-0.029075	True
141	2.773024	2.805156	-0.032132	True
142	15.302352	15.045344	0.257008	False
143	6.008117	5.889656	0.118462	False
