Site-Specific Likelihood Analysis for Clade_7
==================================================

Supporting sites: 693
Conflicting sites: 205
Neutral sites: 1
Support ratio: 3.3805
Sum of supporting deltas: -93.4764
Sum of conflicting deltas: 46.5712
Weighted support ratio: 2.0072

Site	ML_Tree_lnL	Constrained_lnL	Delta_lnL	Supports_Branch
1	2.794078	2.819596	-0.025518	True
2	2.794078	2.819596	-0.025518	True
3	2.794078	2.819596	-0.025518	True
4	5.531405	5.551151	-0.019746	True
5	2.794078	2.819596	-0.025518	True
6	2.794078	2.819596	-0.025518	True
7	10.688236	10.728944	-0.040708	True
8	6.006206	6.030266	-0.024060	True
9	6.196371	6.180471	0.015900	False
10	16.103041	16.103376	-0.000335	True
11	2.794078	2.819596	-0.025518	True
12	2.794078	2.819596	-0.025518	True
13	13.377375	13.352145	0.025230	False
14	2.794078	2.819596	-0.025518	True
15	2.794078	2.819596	-0.025518	True
16	5.531405	5.551151	-0.019746	True
17	10.281942	10.938509	-0.656566	True
18	9.626895	12.531625	-2.904730	True
19	16.921968	17.297363	-0.375395	True
20	10.066029	9.897916	0.168113	False
21	13.151213	12.844489	0.306724	False
22	13.681484	14.292300	-0.610816	True
23	2.794078	2.819596	-0.025518	True
24	2.794078	2.819596	-0.025518	True
25	20.324002	20.112621	0.211380	False
26	2.794078	2.819596	-0.025518	True
27	2.794078	2.819596	-0.025518	True
28	10.882144	10.609066	0.273078	False
29	6.698171	6.728639	-0.030468	True
30	2.794078	2.819596	-0.025518	True
31	21.697017	21.242186	0.454831	False
32	2.794078	2.819596	-0.025518	True
33	2.794078	2.819596	-0.025518	True
34	13.120831	13.195427	-0.074596	True
35	2.794078	2.819596	-0.025518	True
36	2.794078	2.819596	-0.025518	True
37	13.552500	13.247834	0.304666	False
38	2.794078	2.819596	-0.025518	True
39	2.794078	2.819596	-0.025518	True
40	16.802362	16.846957	-0.044595	True
41	5.545792	5.601623	-0.055831	True
42	2.794078	2.819596	-0.025518	True
43	14.858861	15.158228	-0.299367	True
44	2.794078	2.819596	-0.025518	True
45	2.794078	2.819596	-0.025518	True
46	12.900439	12.467792	0.432647	False
47	2.794078	2.819596	-0.025518	True
48	2.794078	2.819596	-0.025518	True
49	18.093237	17.460394	0.632843	False
50	2.794078	2.819596	-0.025518	True
51	2.794078	2.819596	-0.025518	True
52	9.628066	12.562276	-2.934210	True
53	13.359001	15.036157	-1.677157	True
54	2.794078	2.819596	-0.025518	True
55	12.964715	13.001482	-0.036766	True
56	15.737436	15.758875	-0.021439	True
57	6.006206	6.030266	-0.024060	True
58	12.839140	12.547266	0.291874	False
59	2.794078	2.819596	-0.025518	True
60	2.794078	2.819596	-0.025518	True
61	5.531405	5.551151	-0.019746	True
62	2.794078	2.819596	-0.025518	True
63	2.794078	2.819596	-0.025518	True
64	5.819781	5.850317	-0.030535	True
65	10.028995	10.059901	-0.030906	True
66	2.794078	2.819596	-0.025518	True
67	13.319214	13.344055	-0.024841	True
68	2.794078	2.819596	-0.025518	True
69	2.794078	2.819596	-0.025518	True
70	8.995361	9.024192	-0.028831	True
71	2.794078	2.819596	-0.025518	True
72	2.794078	2.819596	-0.025518	True
73	10.017307	10.024847	-0.007540	True
74	5.531405	5.551151	-0.019746	True
75	2.794078	2.819596	-0.025518	True
76	5.819781	5.850317	-0.030535	True
77	2.794078	2.819596	-0.025518	True
78	2.794078	2.819596	-0.025518	True
79	9.553117	9.573565	-0.020448	True
80	2.794078	2.819596	-0.025518	True
81	2.794078	2.819596	-0.025518	True
82	11.288757	11.266639	0.022118	False
83	2.794078	2.819596	-0.025518	True
84	2.794078	2.819596	-0.025518	True
85	6.923418	6.937180	-0.013762	True
86	2.794078	2.819596	-0.025518	True
87	2.794078	2.819596	-0.025518	True
88	10.948624	10.844145	0.104479	False
89	5.531405	5.551151	-0.019746	True
90	6.737425	6.749790	-0.012365	True
91	17.364826	17.276851	0.087975	False
92	2.794078	2.819596	-0.025518	True
