Site-Specific Likelihood Analysis for Clade_4
==================================================

Supporting sites: 632
Conflicting sites: 266
Neutral sites: 3
Support ratio: 2.3759
Sum of supporting deltas: -49.3486
Sum of conflicting deltas: 37.3140
Weighted support ratio: 1.3225

Site	ML_Tree_lnL	Constrained_lnL	Delta_lnL	Supports_Branch
1	2.456587	2.467628	-0.011041	True
2	2.456587	2.467628	-0.011041	True
3	4.038130	4.054687	-0.016557	True
4	5.184402	5.203333	-0.018931	True
5	2.772967	2.785349	-0.012382	True
6	2.772967	2.785349	-0.012382	True
7	10.230275	10.249121	-0.018846	True
8	5.548879	5.602041	-0.053162	True
9	5.816510	5.671155	0.145355	False
10	15.007928	14.946628	0.061300	False
11	4.038130	4.054687	-0.016557	True
12	4.038130	4.054687	-0.016557	True
13	12.533408	12.408477	0.124931	False
14	4.038130	4.054687	-0.016557	True
15	2.562234	2.573732	-0.011499	True
16	4.949938	4.968063	-0.018125	True
17	10.817138	10.819756	-0.002618	True
18	9.148160	9.006528	0.141631	False
19	17.140367	17.027115	0.113253	False
20	11.384453	11.410578	-0.026124	True
21	12.406741	12.453590	-0.046850	True
22	12.991821	12.842383	0.149439	False
23	2.562234	2.573732	-0.011499	True
24	2.772967	2.785349	-0.012382	True
25	19.127626	19.189681	-0.062055	True
26	2.456587	2.467628	-0.011041	True
27	2.772967	2.785349	-0.012382	True
28	12.173326	12.196807	-0.023481	True
29	7.175615	7.197840	-0.022226	True
30	2.772967	2.785349	-0.012382	True
31	20.854252	20.901635	-0.047383	True
32	4.038130	4.054687	-0.016557	True
33	2.562234	2.573732	-0.011499	True
34	12.352344	12.259686	0.092658	False
35	2.562234	2.573732	-0.011499	True
36	2.456587	2.467628	-0.011041	True
37	12.931381	12.722471	0.208910	False
38	4.038130	4.054687	-0.016557	True
39	4.038130	4.054687	-0.016557	True
40	18.676868	18.914987	-0.238119	True
41	5.227343	5.104787	0.122556	False
42	2.772967	2.785349	-0.012382	True
43	13.815825	13.884057	-0.068232	True
44	2.456587	2.467628	-0.011041	True
45	2.562234	2.573732	-0.011499	True
46	11.842167	11.694450	0.147717	False
47	2.772967	2.785349	-0.012382	True
48	2.562234	2.573732	-0.011499	True
49	17.765993	17.816406	-0.050412	True
50	2.772967	2.785349	-0.012382	True
51	2.562234	2.573732	-0.011499	True
52	8.938629	8.803607	0.135022	False
53	12.331764	12.263304	0.068460	False
54	2.772967	2.785349	-0.012382	True
55	15.097890	14.923269	0.174621	False
56	14.874240	14.047380	0.826860	False
57	5.627305	5.682375	-0.055070	True
58	12.955324	13.014959	-0.059634	True
59	2.772967	2.785349	-0.012382	True
60	2.772967	2.785349	-0.012382	True
61	5.184402	5.203333	-0.018931	True
62	2.772967	2.785349	-0.012382	True
63	4.038130	4.054687	-0.016557	True
64	5.470923	5.459625	0.011297	False
65	9.493274	9.536287	-0.043014	True
66	2.772967	2.785349	-0.012382	True
67	13.755200	13.822605	-0.067405	True
68	4.038130	4.054687	-0.016557	True
69	2.562234	2.573732	-0.011499	True
70	8.134738	7.969279	0.165459	False
71	2.456587	2.467628	-0.011041	True
72	2.456587	2.467628	-0.011041	True
73	9.531665	9.517278	0.014387	False
74	5.192160	5.212677	-0.020516	True
75	2.562234	2.573732	-0.011499	True
76	5.366011	5.354025	0.011986	False
77	2.456587	2.467628	-0.011041	True
78	2.456587	2.467628	-0.011041	True
79	9.124614	9.000873	0.123742	False
80	2.772967	2.785349	-0.012382	True
81	2.456587	2.467628	-0.011041	True
82	10.809142	10.797572	0.011569	False
83	4.038130	4.054687	-0.016557	True
84	2.456587	2.467628	-0.011041	True
85	7.425945	7.446611	-0.020665	True
86	2.562234	2.573732	-0.011499	True
87	4.038130	4.054687	-0.016557	True
88	10.067736	10.100040	-0.032304	True
89	6.008059	6.026183	-0.018125	True
90	6.369387	7.944086	-1.574700	True
91	16.605048	16.437063	0.167985	False
92	2.562234	2.573732	-0.011499	True
93	2.456587	2.467628	-0.011041	True
94	9.513817	9.511984	0.001833	False
95	2.456587	2.467628	-0.011041	True
96	8.197467	8.187788	0.009679	False
97	9.992351	9.988247	0.004105	False
98	2.562234	2.573732	-0.011499	True
99	4.038130	4.054687	-0.016557	True
100	12.801269	13.247023	-0.445754	True
101	2.456587	2.467628	-0.011041	True
102	9.755642	10.076664	-0.321022	True
103	6.100058	7.549189	-1.449131	True
104	2.456587	2.467628	-0.011041	True
105	2.772967	2.785349	-0.012382	True
106	2.456587	2.467628	-0.011041	True
107	10.780339	10.062010	0.718329	False
108	7.612405	7.656686	-0.044281	True
109	13.308010	13.241350	0.066659	False
110	5.227343	5.104787	0.122556	False
111	2.772967	2.785349	-0.012382	True
112	14.760268	14.554985	0.205283	False
113	8.955430	9.201847	-0.246417	True
114	2.562234	2.573732	-0.011499	True
115	13.764779	13.113097	0.651682	False
116	2.562234	2.573732	-0.011499	True
117	8.149398	8.119057	0.030341	False
118	10.831633	10.862318	-0.030685	True
119	4.038130	4.054687	-0.016557	True
120	4.038130	4.054687	-0.016557	True
121	15.334852	15.524676	-0.189824	True
122	5.274549	5.263252	0.011297	False
123	2.772967	2.785349	-0.012382	True
124	16.789760	16.790751	-0.000992	True
125	2.562234	2.573732	-0.011499	True
126	2.456587	2.467628	-0.011041	True
127	2.456587	2.467628	-0.011041	True
128	6.578329	6.600434	-0.022106	True
129	5.646211	5.700059	-0.053848	True
130	16.574472	16.420213	0.154259	False
131	8.467663	8.467497	0.000165	False
132	2.772967	2.785349	-0.012382	True
133	5.366011	5.354025	0.011986	False
134	7.642761	7.723294	-0.080534	True
135	2.772967	2.785349	-0.012382	True
136	9.337247	9.332465	0.004782	False
137	2.562234	2.573732	-0.011499	True
138	2.562234	2.573732	-0.011499	True
139	12.010009	12.259041	-0.249032	True
140	6.605169	6.626325	-0.021156	True
141	2.772967	2.785349	-0.012382	True
142	15.302495	16.741471	-1.438976	True
