Tree	-lnL	Site	-lnL
1	5988.05918478	-	-
		1	2.14412827
		2	2.14412827
		3	4.22760694
		4	4.59445263
		5	3.03295853
		6	3.03295853
		7	8.91252622
		8	5.99057927
		9	5.06051692
		10	15.18156301
		11	4.22760694
		12	4.22760694
		13	11.69987638
		14	4.22760694
		15	2.73522359
		16	5.29106139
		17	9.04965918
		18	7.77774414
		19	15.63600426
		20	9.61953801
		21	10.39960645
		22	10.73073643
		23	2.73522359
		24	3.03295853
		25	18.27425806
		26	2.14412827
		27	3.03295853
		28	10.38655583
		29	6.10174432
		30	3.03295853
		31	17.16944124
		32	4.22760694
		33	2.73522359
		34	11.61104175
		35	2.73522359
		36	2.14412827
		37	10.62131544
		38	4.22760694
		39	4.22760694
		40	17.15846037
		41	4.65574410
		42	3.03295853
		43	12.41351893
		44	2.14412827
		45	2.73522359
		46	12.61196219
		47	3.03295853
		48	2.73522359
		49	18.37088863
		50	3.03295853
		51	2.73522359
		52	8.97170505
		53	12.73872909
		54	3.03295853
		55	12.58226672
		56	12.06253795
		57	6.43355513
		58	12.04522974
		59	3.03295853
		60	3.03295853
		61	4.59445263
		62	3.03295853
		63	4.22760694
		64	4.82439910
		65	8.16679200
		66	3.03295853
		67	12.70742411
		68	4.22760694
		69	2.73522359
		70	9.23993805
		71	2.14412827
		72	2.14412827
		73	8.12086596
		74	6.02739893
		75	2.73522359
		76	5.70597889
		77	2.14412827
		78	2.14412827
		79	7.82114169
		80	3.03295853
		81	2.14412827
		82	9.43685996
		83	4.22760694
		84	2.14412827
		85	6.37513077
		86	2.73522359
		87	4.22760694
		88	11.32193722
		89	4.97421717
		90	5.63033437
		91	13.64444148
		92	2.73522359
		93	2.14412827
		94	8.11859435
		95	2.14412827
		96	7.58095527
		97	8.60531275
		98	2.73522359
		99	4.22760694
		100	12.97994657
		101	2.14412827
		102	8.28866304
		103	6.82052503
		104	2.14412827
		105	3.03295853
		106	2.14412827
		107	11.54530948
		108	6.34566043
		109	12.30104266
		110	4.65574410
		111	3.03295853
		112	15.16173189
		113	9.54238516
		114	2.73522359
		115	12.52839019
		116	2.73522359
		117	7.35256648
		118	10.43715739
		119	4.22760694
		120	4.22760694
		121	15.18551613
		122	6.04336822
		123	3.03295853
		124	13.67281673
		125	2.73522359
		126	2.14412827
		127	2.14412827
		128	5.56874213
		129	5.07587164
		130	15.01089132
		131	8.51622002
		132	3.03295853
		133	5.70597889
		134	6.31319928
		135	3.03295853
		136	9.28362692
		137	2.73522359
		138	2.73522359
		139	12.67257020
		140	6.02977343
		141	3.03295853
		142	14.51680593
		143	4.97421717
		144	6.85601168
		145	2.14412827
		146	4.22760694
		147	6.91721480
		148	13.27513578
		149	13.20238786
		150	5.13440747
		151	13.28804560
		152	3.03295853
		153	4.22760694
		154	2.14412827
		155	3.03295853
		156	4.22760694
		157	2.14412827
		158	8.00349123
		159	3.03295853
		160	17.44456413
		161	10.91923089
		162	7.37356357
		163	10.08272350
		164	4.22760694
		165	2.73522359
		166	5.98136793
		167	2.14412827
		168	5.89720588
		169	4.65574410
		170	4.59445263
		171	3.03295853
		172	8.52053504
		173	10.16465470
		174	2.73522359
		175	7.77230686
		176	2.14412827
		177	2.14412827
		178	5.75330895
		179	2.73522359
		180	3.03295853
		181	13.29507394
		182	4.22760694
		183	2.73522359
		184	5.75330895
		185	8.42066331
		186	3.03295853
		187	5.42341291
		188	2.73522359
		189	2.73522359
		190	6.56944433
		191	11.77888290
		192	2.73522359
		193	11.77918114
		194	8.54697330
		195	2.73522359
		196	12.60525121
		197	2.14412827
		198	3.03295853
		199	11.04464648
		200	2.14412827
		201	2.14412827
		202	12.90731960
		203	5.06051692
		204	3.03295853
		205	14.36008142
		206	9.06639823
		207	3.03295853
		208	15.55580994
		209	4.22760694
		210	4.22760694
		211	21.10540736
		212	4.22760694
		213	2.14412827
		214	6.24553692
		215	4.65574410
		216	3.03295853
		217	9.51076781
		218	4.80461870
		219	8.00310301
		220	9.71396854
		221	5.89720588
		222	4.80461870
		223	10.60402117
		224	6.66699339
		225	4.98399715
		226	11.11625159
		227	13.61195692
		228	5.18563137
		229	10.58239814
		230	12.17320055
		231	2.73522359
		232	11.15121645
		233	16.44479934
		234	5.37086903
		235	16.44424125
		236	3.03295853
		237	3.03295853
		238	9.99183440
		239	3.03295853
		240	2.73522359
		241	10.47266627
		242	3.03295853
		243	4.22760694
		244	13.40241897
		245	7.80396973
		246	2.73522359
		247	12.82385391
		248	8.96836391
		249	2.14412827
		250	10.28070076
		251	8.53882356
		252	10.60731941
		253	10.48508288
		254	2.14412827
		255	2.73522359
		256	13.63070279
		257	6.66594702
		258	3.03295853
		259	11.65678929
		260	14.54926379
		261	5.36504534
		262	14.14202046
		263	12.09634809
		264	3.03295853
		265	16.48908135
		266	4.97421717
		267	5.06051692
		268	10.13762584
		269	4.22760694
		270	4.22760694
		271	14.00843481
		272	14.61666468
		273	6.06041135
		274	17.49672188
		275	2.14412827
		276	2.14412827
		277	9.70732766
		278	5.56874213
		279	4.74487402
		280	7.86126453
		281	7.14143849
		282	3.03295853
		283	7.22532727
		284	6.52134766
		285	3.03295853
		286	12.84221087
		287	2.14412827
		288	2.73522359
		289	14.04549088
		290	6.64349015
		291	2.73522359
		292	7.82823469
		293	2.73522359
		294	3.03295853
		295	16.74089228
		296	3.03295853
		297	2.14412827
		298	5.06051692
		299	3.03295853
		300	2.73522359
		301	14.58887529
		302	2.73522359
		303	3.03295853
		304	15.74947414
		305	6.72229384
		306	2.14412827
		307	10.65473853
		308	2.14412827
		309	3.03295853
		310	13.36448317
		311	4.74487402
		312	6.07334247
		313	11.00607987
		314	5.03282630
		315	10.35625885
		316	11.73723692
		317	5.46503567
		318	7.06406686
		319	8.70777457
		320	6.37513077
		321	6.02977343
		322	5.42341291
		323	2.73522359
		324	2.14412827
		325	5.03282630
		326	5.86845582
		327	4.22760694
		328	6.52134766
		329	4.22760694
		330	4.22760694
		331	12.26820490
		332	21.46584221
		333	6.25618971
		334	6.10174432
		335	4.59445263
		336	8.52303619
		337	7.10534006
		338	2.14412827
		339	2.73522359
		340	7.63118317
		341	5.63033437
		342	2.14412827
		343	8.75953375
		344	5.79507206
		345	5.03282630
		346	5.06051692
		347	5.70597889
		348	6.48075635
		349	16.77149917
		350	5.57362732
		351	13.31939123
		352	12.57759661
		353	2.14412827
		354	2.14412827
		355	9.59970394
		356	5.57362732
		357	3.03295853
		358	5.29106139
		359	2.14412827
		360	5.42341291
		361	17.40015894
		362	2.73522359
		363	2.73522359
		364	15.52299212
		365	9.62376968
		366	4.65574410
		367	17.09490003
		368	5.36504534
		369	3.03295853
		370	9.58541521
		371	2.14412827
		372	2.73522359
		373	5.29106139
		374	2.73522359
		375	4.22760694
		376	6.07523929
		377	4.22760694
		378	2.14412827
		379	2.14412827
		380	2.14412827
		381	2.14412827
		382	12.05081043
		383	2.14412827
		384	14.60798641
		385	16.58248451
		386	8.91340593
		387	3.03295853
		388	10.75790016
		389	2.14412827
		390	3.03295853
		391	10.03543615
		392	13.32384474
		393	4.98399715
		394	10.26656853
		395	6.74804892
		396	3.03295853
		397	9.61953801
		398	2.73522359
		399	2.14412827
		400	4.65574410
		401	8.77626190
		402	3.03295853
		403	9.47553787
		404	12.42509276
		405	7.48205078
		406	9.63778193
		407	2.73522359
		408	2.73522359
		409	8.99086137
		410	10.97942166
		411	3.03295853
		412	16.76240031
		413	9.16825516
		414	3.03295853
		415	5.75330895
		416	2.73522359
		417	3.03295853
		418	15.62709847
		419	7.45884004
		420	3.03295853
		421	8.70777457
		422	12.56470549
		423	2.73522359
		424	11.13795321
		425	8.38796394
		426	4.74487402
		427	13.10268190
		428	2.14412827
		429	5.03282630
		430	5.90064078
		431	2.73522359
		432	2.73522359
		433	8.37260275
		434	6.31237935
		435	5.72685350
		436	14.76784550
		437	7.45409391
		438	3.03295853
		439	12.81597866
		440	2.14412827
		441	3.03295853
		442	12.84321901
		443	12.81651196
		444	5.79653661
		445	16.74686025
		446	4.22760694
		447	4.22760694
		448	15.72844876
		449	8.40652544
		450	5.63617133
		451	10.77800436
		452	13.94060536
		453	4.59445263
		454	18.44466936
		455	7.11936261
		456	10.08962141
		457	8.09825670
		458	3.03295853
